"id_individual","choice_task","alt1_sq","alt1_farm2","alt1_farm3","alt1_height2","alt1_height3","alt1_redkite","alt1_distance","alt1_cost","alt2_farm2","alt2_farm3","alt2_height2","alt2_height3","alt2_redkite","alt2_distance","alt2_cost","alt3_farm2","alt3_farm3","alt3_height2","alt3_height3","alt3_redkite","alt3_distance","alt3_cost","age","female","education","choice"
1,1,1,0,0,0,0,0,0,0,0,0,0,1,2.5,0,4,1,0,1,0,-2.5,1,9,66,1,3,1
1,2,1,0,0,0,0,0,0,0,0,1,1,0,0,1,5,1,0,0,0,-2.5,0.25,7,66,1,3,1
1,3,1,0,0,0,0,0,0,0,0,1,1,0,0,0.75,2,0,1,0,1,-5,1,3,66,1,3,3
1,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0.25,7,1,0,1,0,-5,0.75,5,66,1,3,1
1,5,1,0,0,0,0,0,0,0,1,0,0,1,-5,1,3,0,1,1,0,5,1,4,66,1,3,3
1,6,1,0,0,0,0,0,0,0,0,0,0,1,2.5,0.75,4,0,1,1,0,0,0,4,66,1,3,2
1,7,1,0,0,0,0,0,0,0,0,1,0,1,-5,0.25,10,1,0,0,1,-5,0,4,66,1,3,1
1,8,1,0,0,0,0,0,0,0,1,0,1,0,-2.5,1,1,0,1,0,1,-2.5,0.25,5,66,1,3,2
1,9,1,0,0,0,0,0,0,0,0,0,1,0,-2.5,0,1,1,0,0,0,5,1,5,66,1,3,2
1,10,1,0,0,0,0,0,0,0,1,0,1,0,5,0.25,4,0,0,0,0,-5,0.75,9,66,1,3,NA
2,1,1,0,0,0,0,0,0,0,0,0,0,0,2.5,0.25,8,0,0,0,1,5,1,3,38,1,1,3
2,2,1,0,0,0,0,0,0,0,1,0,1,0,5,0.5,7,0,1,0,0,2.5,0,8,38,1,1,1
2,3,1,0,0,0,0,0,0,0,0,1,1,0,2.5,0.75,6,1,0,0,0,0,0.75,2,38,1,1,3
2,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0.5,5,0,1,0,1,-5,0.75,10,38,1,1,1
2,5,1,0,0,0,0,0,0,0,1,0,1,0,2.5,0,3,0,1,0,1,-2.5,0.75,10,38,1,1,1
2,6,1,0,0,0,0,0,0,0,0,1,1,0,2.5,1,9,0,1,0,1,5,0.25,9,38,1,1,NA
2,7,1,0,0,0,0,0,0,0,1,0,0,1,0,0.5,8,0,1,0,0,-5,0,8,38,1,1,1
2,8,1,0,0,0,0,0,0,0,0,1,1,0,-2.5,1,7,1,0,0,0,2.5,0.25,4,38,1,1,1
2,9,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,-5,1,7,38,1,1,NA
2,10,1,0,0,0,0,0,0,0,1,0,0,0,-2.5,0,3,1,0,1,0,5,0.75,1,38,1,1,1
3,1,1,0,0,0,0,0,0,0,1,0,1,0,5,0.5,7,0,1,0,0,2.5,0,8,57,1,3,1
3,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0.25,7,1,0,1,0,-5,0.75,5,57,1,3,1
3,3,1,0,0,0,0,0,0,0,0,0,0,1,-5,1,9,0,1,0,0,0,0.25,7,57,1,3,1
3,4,1,0,0,0,0,0,0,0,0,1,0,1,-5,0.25,10,1,0,0,1,-5,0,4,57,1,3,1
3,5,1,0,0,0,0,0,0,0,0,1,0,1,0,0.25,3,1,0,0,0,-5,0.5,4,57,1,3,1
3,6,1,0,0,0,0,0,0,0,1,0,1,0,5,0,7,1,0,0,0,2.5,1,2,57,1,3,1
3,7,1,0,0,0,0,0,0,0,0,1,0,1,-2.5,0.5,3,0,1,1,0,-5,0,1,57,1,3,3
